-6.0,-1.1,-1.0,-0.9,-0.6,-0.6,-0.4,-0.4,-0.3,-0.2,-0.2,-0.1,-0.1,-0.1,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.4,0.5,2.1,7.7
-3.3,-0.5,-0.3,-0.2,-0.1,-0.1,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,2.4,2.7,3.0,8.3,27.5
-6.6,-3.2,-0.2,-0.1,-0.1,-0.0,-0.0,-0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.9,4.1,5.0,5.6,6.4,43.0
-17.9,-0.3,-0.1,-0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,2.3,3.1,3.1,3.7,4.3,5.3,5.5,6.7,7.2,7.3
-7.8,-3.7,-2.3,-0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,3.8,4.1,4.3,4.4,4.7,5.5,6.2,6.5,6.6,6.7,7.3,8.5
-1.6,-0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,3.9,4.3,4.8,5.2,5.2,5.3,5.6,5.8,6.2,6.8,6.9,7.4,7.5,7.6,8.5,8.7
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.5,3.5,4.4,4.6,4.6,5.6,5.7,5.7,5.8,6.0,6.4,6.5,7.1,7.2,7.7,7.7,7.8,8.3,8.6,8.7,8.8,8.8,11.4
0.1,0.1,0.1,0.2,2.3,4.3,4.8,4.9,5.1,5.3,5.8,6.1,6.3,6.3,6.3,6.9,7.1,7.2,7.5,7.8,8.0,8.1,8.3,8.7,9.2,10.4,10.6,12.4,12.7,14.1,15.0,19.8
-2.7,5.0,5.4,5.7,5.7,5.8,5.8,6.1,6.2,6.2,6.7,6.8,7.1,7.3,7.5,7.6,7.9,8.0,8.0,8.2,8.6,8.7,9.9,10.1,10.5,10.5,11.3,12.2,14.0,14.5,21.0,26.3
-0.1,4.7,5.3,5.9,6.0,6.4,6.8,7.5,7.5,8.1,8.5,8.6,8.8,8.8,8.8,10.3,10.3,10.5,11.3,11.6,11.7,12.2,12.3,13.3,13.4,14.0,14.3,16.8,17.9,17.9,19.1,19.2
-2.1,0.3,6.2,7.0,7.1,7.3,7.5,7.7,8.5,8.5,8.7,8.7,8.8,10.3,10.3,10.7,11.5,12.3,12.7,14.3,14.8,15.6,16.4,16.5,17.5,17.5,18.4,19.6,21.2,25.2,27.0,29.2
6.4,6.8,7.0,7.1,9.6,9.9,9.9,10.0,10.2,11.0,11.0,11.2,11.6,11.7,12.5,13.2,14.6,15.2,16.9,16.9,17.4,18.1,18.1,19.0,19.2,19.7,21.5,24.7,28.8,30.9,43.1,49.8
-6.9,5.7,8.0,8.9,9.6,10.7,10.9,11.3,11.6,11.8,12.2,12.3,12.8,14.4,15.2,15.6,16.2,17.6,17.8,18.2,18.4,19.5,20.7,21.2,22.8,26.4,28.0,35.3,41.4,46.7,50.3,52.1
-6.8,-2.7,4.5,7.9,10.6,11.5,12.1,12.7,13.2,13.9,14.1,14.3,14.4,14.6,14.7,15.8,16.4,16.9,18.3,20.3,21.2,22.8,26.0,26.8,27.3,39.7,47.1,47.7,50.9,52.8,53.7,62.5
-4.3,-4.3,-1.5,11.9,12.1,12.6,12.8,12.9,14.9,15.6,16.1,16.9,16.9,17.0,19.3,19.8,23.1,23.1,24.6,25.5,26.0,29.4,31.7,40.8,41.7,41.9,44.5,47.4,48.5,51.3,54.5,62.1
-7.3,-3.0,-1.2,1.2,9.9,12.3,13.3,13.7,14.2,16.4,16.5,16.5,18.0,21.9,22.0,22.9,24.1,24.1,24.4,27.1,35.5,36.1,40.7,43.7,44.5,44.8,45.4,46.5,47.6,52.2,55.7,62.4
-19.1,2.5,8.5,14.1,14.5,15.8,16.1,16.8,17.2,17.5,20.1,20.1,23.7,23.8,24.5,25.6,26.3,27.8,27.8,29.4,33.8,38.6,40.9,42.9,43.1,44.2,48.5,49.3,52.4,54.5,57.4,60.0
-11.4,-8.3,-5.0,-1.5,12.9,13.6,14.0,14.2,15.9,22.7,22.8,24.5,25.2,25.6,26.6,28.0,33.8,34.8,34.8,35.9,38.1,40.3,40.8,42.3,45.2,48.2,49.7,50.3,50.4,53.5,55.3,61.3
-8.9,11.6,12.9,13.0,13.8,20.4,20.8,21.4,22.9,23.7,24.5,26.4,26.8,28.0,34.8,35.0,35.5,37.5,39.8,40.2,42.2,43.3,43.4,44.9,45.0,45.2,46.9,47.1,48.6,50.7,53.4,55.3
-1.6,0.1,1.9,2.4,15.0,18.4,19.3,20.2,24.0,24.6,24.6,25.0,25.6,26.7,26.9,31.3,32.5,38.1,40.7,41.9,45.2,45.4,46.9,48.4,48.8,49.0,49.3,49.6,51.2,51.4,53.1,54.8
5.9,10.7,15.9,20.7,22.1,22.1,23.2,25.2,25.3,26.0,32.3,33.1,33.4,34.2,34.6,36.9,38.5,41.7,42.8,43.4,44.1,44.5,46.0,47.2,47.9,48.0,49.3,50.0,50.2,51.7,53.4,54.6
-3.2,12.8,22.3,22.6,22.7,22.9,23.7,25.6,32.0,32.1,34.3,36.4,38.3,38.3,39.1,39.3,40.6,41.1,42.2,42.6,42.8,43.7,44.4,44.4,45.0,48.0,48.4,50.3,50.6,54.6,55.7,59.3
-13.0,-0.1,0.0,0.1,13.3,14.3,15.2,22.5,23.0,29.9,30.8,37.1,37.2,38.5,39.3,40.3,40.9,41.2,42.5,42.9,44.3,44.4,44.7,46.5,47.0,47.0,47.1,47.1,48.1,49.9,51.2,51.9
-9.1,10.5,12.7,12.8,13.1,14.6,15.3,23.3,24.7,26.7,32.3,33.4,35.8,38.0,38.1,38.4,39.7,39.7,42.9,43.2,44.5,44.9,45.8,49.0,50.9,51.1,51.4,51.7,52.2,52.3,52.3,54.8
10.8,13.0,13.5,15.6,20.3,20.8,21.7,22.0,22.1,25.2,30.3,33.2,34.2,39.2,40.9,40.9,41.3,41.4,41.7,43.1,43.1,43.4,43.7,44.0,45.8,46.3,46.9,47.6,47.9,50.6,51.8,54.4
5.6,14.3,16.0,18.5,20.9,23.5,24.0,24.2,26.3,34.9,35.1,35.3,36.1,36.8,38.2,38.3,40.4,41.3,42.4,43.0,44.5,44.5,45.6,47.9,48.6,49.6,49.9,50.9,51.4,51.5,51.7,60.1
1.7,17.2,24.0,25.2,26.2,27.3,30.4,31.6,32.1,36.0,36.9,38.6,39.1,39.5,40.7,42.0,42.4,42.4,42.7,42.8,44.4,45.1,45.6,48.0,49.1,50.0,50.1,52.3,53.7,54.8,61.5,61.6
-6.4,6.9,15.0,15.4,15.8,19.5,23.6,31.4,32.8,34.3,35.5,36.3,37.2,38.2,38.6,39.0,40.3,41.3,42.1,43.7,43.9,44.0,49.5,49.6,49.7,52.0,52.2,52.2,52.9,53.4,54.0,54.4
14.3,21.9,23.3,24.1,37.1,37.1,37.8,40.0,40.0,40.1,40.7,41.1,42.6,42.9,43.1,43.9,44.7,44.9,44.9,45.0,45.3,45.3,45.3,45.7,47.1,48.4,48.7,49.8,51.5,51.8,52.5,56.5
20.0,23.3,35.3,36.1,36.2,38.3,38.3,38.4,39.3,40.5,40.8,41.1,41.6,42.1,43.4,44.2,47.0,47.7,47.7,47.8,47.9,48.6,49.2,49.3,49.9,50.1,50.3,50.6,53.6,57.0,59.2,60.6
-17.7,-3.3,16.5,19.5,21.1,23.3,24.2,31.7,38.6,39.9,39.9,42.4,42.5,43.0,43.2,44.5,44.6,45.0,45.8,45.9,46.8,47.3,47.5,47.8,49.4,49.8,51.7,51.8,52.5,55.5,56.1,62.2
-10.8,10.8,12.0,18.2,19.3,24.2,32.4,33.6,36.5,36.6,36.9,38.4,41.8,43.7,44.5,45.5,46.5,47.1,48.4,50.2,51.4,51.6,51.9,52.2,52.4,53.2,53.3,54.3,54.8,55.1,55.8,58.7
-23.2,-5.5,-2.9,10.5,14.3,33.9,39.3,40.4,41.0,42.1,42.2,42.4,43.1,43.6,44.5,44.6,45.7,46.5,46.5,47.1,47.1,47.5,47.6,47.7,48.2,48.3,50.0,50.4,50.5,53.4,53.4,55.2
-4.0,-1.0,0.1,7.9,8.9,12.2,22.4,36.7,37.6,38.0,38.9,39.8,40.0,40.3,41.0,41.3,41.5,41.8,42.3,42.8,43.1,43.3,43.5,44.0,46.4,47.3,48.9,50.1,51.7,54.1,56.3,60.9
-19.5,12.0,12.0,22.8,23.6,25.2,28.4,37.8,39.0,39.7,39.8,41.1,41.1,41.3,41.8,42.0,42.4,42.4,42.5,43.2,43.6,44.2,44.6,45.3,45.7,46.8,48.0,49.2,49.7,51.0,54.6,55.7
-17.1,-8.7,12.9,25.2,26.0,29.1,34.2,36.0,36.5,36.6,37.7,39.3,40.4,40.8,41.4,43.6,44.2,45.2,45.4,45.4,45.7,46.1,49.1,49.7,50.3,50.8,51.1,51.7,51.7,53.6,54.0,62.5
-10.4,10.2,13.9,19.8,30.5,31.8,34.1,36.1,37.0,38.8,39.9,40.6,40.6,42.0,42.4,43.1,45.0,45.2,45.4,45.6,45.7,47.5,47.8,49.0,50.2,51.9,52.6,52.8,53.8,54.2,54.8,61.1
-48.8,-6.3,0.0,14.2,21.5,22.0,29.9,35.1,36.2,37.7,38.0,38.6,38.8,39.4,40.1,40.4,41.6,42.0,42.3,43.0,43.6,44.5,46.1,49.7,50.4,51.2,51.8,52.5,52.8,53.0,53.4,61.5
4.1,15.5,16.3,20.1,20.3,22.0,27.5,34.7,35.3,36.4,38.6,39.2,40.6,40.8,40.8,41.0,41.0,41.4,41.5,42.6,43.6,44.3,44.6,45.3,45.6,46.5,47.9,48.6,50.2,57.6,59.0,60.2
13.9,15.3,16.7,26.1,31.5,35.7,35.8,37.7,38.2,39.5,39.6,39.9,40.0,40.5,40.9,42.8,43.0,43.1,43.2,43.3,43.4,43.5,45.8,46.2,46.9,47.3,47.5,47.7,50.9,52.6,53.7,61.1
-8.2,27.2,35.2,35.8,39.0,39.6,39.8,41.9,42.0,42.1,42.6,42.6,43.5,43.8,44.1,45.4,46.4,47.4,47.5,47.8,47.9,48.1,49.6,49.7,50.5,52.0,53.3,53.9,54.2,55.3,61.1,62.0
-22.4,-10.4,-3.5,14.4,14.5,14.8,15.4,24.4,38.9,39.2,40.5,41.6,43.4,43.5,44.0,44.1,44.5,44.6,45.6,46.2,46.3,46.6,46.7,48.4,48.4,48.5,48.9,49.5,50.6,51.3,53.5,54.6
14.2,15.5,17.1,18.0,24.9,27.8,35.6,38.2,38.7,38.9,39.3,41.1,42.6,42.8,42.9,43.1,43.3,44.2,44.3,45.9,47.5,47.6,47.6,51.1,52.4,52.6,53.0,53.8,57.6,60.5,61.1,61.5
-10.3,-0.9,17.8,19.9,24.9,30.2,33.4,35.3,35.4,35.7,36.5,38.1,38.7,39.5,40.3,42.2,42.3,42.7,42.9,43.8,44.1,44.7,47.8,51.0,52.3,53.8,54.7,55.1,56.5,56.7,57.0,57.4
-3.0,13.1,19.2,30.4,31.3,31.6,35.3,36.1,37.7,38.7,38.9,39.3,39.5,40.7,41.4,41.5,42.3,42.8,42.8,43.4,43.5,45.5,45.9,46.6,48.9,50.0,50.1,50.8,51.1,52.5,54.3,61.4
-16.6,-16.1,-14.7,-7.4,13.3,15.1,15.5,23.7,29.4,30.3,37.7,38.9,41.5,41.9,42.8,43.0,43.2,44.3,45.4,45.7,46.6,46.8,47.3,49.9,50.4,51.5,51.9,52.6,52.9,53.0,55.3,60.3
-16.9,6.3,14.8,15.1,18.9,27.3,28.0,28.7,30.6,36.0,36.6,37.3,38.9,40.0,43.3,43.4,43.5,45.3,46.0,46.3,47.7,49.5,49.8,50.6,50.8,51.1,51.5,51.6,52.2,53.1,53.6,56.7
6.8,13.7,14.9,16.0,20.6,22.6,25.6,25.7,38.5,40.0,40.3,40.9,41.1,41.2,41.5,42.2,42.6,44.0,44.4,46.2,46.6,46.9,48.2,48.5,49.4,49.8,49.9,50.4,50.6,51.0,53.2,54.3
-3.6,3.4,13.8,14.0,23.3,25.7,30.0,34.1,35.2,36.1,37.8,38.2,40.5,41.2,41.5,42.9,43.1,43.1,43.4,43.8,44.7,45.2,45.3,45.4,48.4,48.8,48.9,50.3,50.4,52.2,53.1,53.4
11.3,12.6,13.4,15.6,24.3,32.1,33.6,35.5,35.9,37.0,39.0,39.9,40.4,40.6,42.5,42.5,43.0,43.7,43.9,45.5,45.9,46.3,46.6,48.3,48.5,48.9,50.5,50.6,50.7,51.2,53.0,54.9
-24.0,-6.2,22.9,24.9,25.2,28.6,34.9,37.4,37.7,38.5,38.6,38.7,39.9,40.1,40.1,40.5,41.2,41.7,43.4,43.4,44.6,45.1,45.7,45.8,48.1,50.2,50.6,50.8,51.7,54.1,55.2,60.9
-9.8,11.4,13.8,15.7,16.1,22.5,22.6,25.7,25.9,30.5,33.7,34.9,37.1,38.6,39.1,41.3,41.7,44.9,44.9,45.0,45.2,45.6,45.7,46.0,49.2,50.1,50.8,51.8,52.4,53.3,54.8,54.9
-14.3,-4.0,3.3,12.2,14.7,20.2,20.7,24.6,30.9,32.2,34.6,37.4,38.8,40.4,41.1,42.9,43.1,43.2,43.4,43.6,45.2,46.1,48.1,48.6,49.9,50.6,52.1,52.3,52.4,54.5,55.3,55.4
-2.3,13.6,13.7,15.8,20.5,20.9,22.7,24.2,24.4,25.5,25.7,30.4,31.7,35.3,35.7,36.6,39.0,40.2,41.4,43.1,44.0,44.2,45.3,46.3,46.6,47.8,49.3,50.9,52.0,52.7,61.0,61.6
-11.2,11.7,12.9,13.6,22.0,23.5,24.5,24.9,26.2,36.4,40.6,41.9,42.1,42.1,43.5,43.7,43.7,45.0,46.4,46.5,46.5,47.9,48.5,49.9,50.4,50.5,50.7,52.6,53.1,53.2,54.7,55.4
13.7,24.7,25.7,32.5,36.4,38.4,38.4,40.4,41.1,41.2,41.4,41.7,42.2,42.4,42.6,42.7,45.4,45.7,47.3,47.3,47.4,47.6,47.8,48.1,48.3,49.0,49.4,50.3,51.2,52.6,55.3,59.9
11.3,11.6,14.6,25.2,34.3,36.5,37.1,39.3,40.7,40.9,41.3,41.6,41.9,42.4,42.7,43.1,43.4,47.0,47.2,47.9,48.2,48.2,48.8,49.7,49.7,50.4,50.6,50.9,53.3,53.6,60.3,61.7
-15.6,-10.4,-8.9,-5.7,9.7,15.3,24.4,26.1,34.5,38.8,41.8,41.9,42.3,42.5,42.6,42.6,42.6,43.2,44.3,46.5,46.7,47.2,47.4,48.3,48.7,48.8,49.4,50.1,50.3,51.0,54.6,59.4
-11.8,-11.8,-9.3,23.2,28.4,36.1,37.6,38.5,39.4,40.0,40.1,41.0,41.3,41.4,41.5,41.7,42.0,44.7,45.3,46.0,46.0,46.0,46.3,47.2,47.6,49.6,50.6,51.0,52.3,53.1,55.4,56.0
1.3,13.1,15.6,20.7,31.9,33.1,36.4,36.7,37.2,38.1,39.7,40.6,40.9,41.8,42.7,42.9,44.3,44.8,45.0,45.6,45.6,45.6,45.8,48.3,48.3,48.8,49.5,51.4,52.0,54.5,54.9,58.3
-48.1,-7.4,3.0,7.5,13.2,14.6,36.2,36.7,37.5,37.7,38.8,40.5,41.1,41.9,42.3,43.1,44.4,44.9,47.1,47.3,47.5,49.0,49.2,49.8,50.0,50.5,50.8,51.2,52.3,52.6,53.9,54.6
-24.4,20.3,23.4,26.6,31.1,31.7,32.4,33.6,35.9,35.9,38.2,38.9,39.5,39.7,41.4,42.0,43.2,45.2,47.0,47.7,48.1,48.3,49.4,49.5,50.6,52.2,52.3,52.6,53.2,54.5,54.9,55.1
22.5,23.7,24.6,31.1,38.7,38.8,39.6,39.8,40.2,40.5,40.8,41.6,42.1,42.5,42.5,42.9,44.9,44.9,45.8,47.4,48.0,48.4,48.6,49.9,50.9,51.8,52.0,52.3,52.6,56.6,56.7,61.0
3.6,12.6,14.6,21.8,24.4,29.7,35.4,37.2,38.8,40.0,40.6,41.0,41.7,41.9,42.8,43.1,43.2,43.7,44.0,44.8,44.9,45.4,45.9,46.0,46.4,48.4,49.0,50.6,51.4,51.4,53.4,53.7
-17.5,8.9,23.7,27.7,29.3,34.5,34.9,38.0,38.3,39.2,39.9,41.6,41.7,42.7,43.3,43.9,44.5,45.0,46.8,47.0,48.4,49.0,49.3,49.5,50.3,50.4,51.1,52.5,54.6,55.3,56.5,61.0
0.1,0.4,8.4,13.4,19.7,22.0,33.8,34.6,35.1,35.6,38.4,39.6,39.8,40.2,40.6,41.0,42.2,42.2,43.1,43.5,44.6,44.6,47.5,48.0,48.5,48.9,50.3,50.7,51.1,51.8,52.4,53.2
-18.5,-6.7,-4.8,14.1,15.8,20.1,20.8,25.7,36.1,36.2,37.1,38.8,39.2,39.6,40.5,40.8,40.8,41.7,42.1,42.2,42.9,43.8,48.1,48.4,48.6,48.7,49.1,50.8,51.5,51.7,53.6,54.7
-16.9,4.1,9.3,21.8,23.6,23.6,24.3,24.5,24.5,35.3,37.3,37.6,38.1,39.1,40.7,41.0,41.9,42.2,42.5,43.3,45.5,45.9,46.4,46.7,47.0,47.6,52.1,52.2,52.6,52.8,53.0,53.3
22.7,23.4,24.7,24.8,28.6,37.5,39.4,41.0,41.0,41.1,41.1,41.4,41.7,41.9,42.6,42.9,43.6,43.6,44.3,44.9,45.7,46.0,47.0,47.3,47.7,49.0,51.4,51.5,52.0,52.4,53.1,53.8
-12.5,21.2,22.9,30.5,38.3,39.4,40.4,40.9,41.2,41.9,42.7,43.3,44.0,44.0,44.9,45.0,45.2,45.2,45.4,45.5,46.6,47.0,47.3,47.6,48.1,48.3,48.9,49.4,49.5,51.0,51.3,51.4
17.5,24.7,24.8,38.9,39.0,40.0,41.8,41.8,42.0,42.7,42.9,43.5,43.7,44.1,45.4,46.3,46.4,46.8,47.5,48.3,48.9,49.1,49.1,49.2,49.3,50.4,50.9,51.2,51.6,52.1,52.1,53.7
-1.9,21.0,22.8,24.9,32.2,36.5,37.4,41.1,41.2,41.3,42.4,44.0,44.4,44.9,45.1,45.1,45.3,46.3,46.5,47.1,47.2,47.6,48.1,49.0,49.5,50.6,51.5,51.5,53.4,54.6,57.0,58.9
2.8,10.4,23.5,35.5,37.7,37.9,38.2,40.4,41.0,41.1,41.4,41.6,41.6,42.0,43.1,43.2,43.5,44.7,44.8,45.1,45.4,46.5,47.7,48.0,48.6,48.9,51.3,51.4,51.8,54.3,54.8,60.4
-23.0,-16.7,15.9,22.5,24.9,25.0,37.8,38.0,38.3,38.7,38.8,39.2,39.6,39.6,41.2,41.6,41.9,42.9,44.0,44.9,45.2,46.3,48.9,50.0,50.1,50.9,52.5,52.8,53.0,53.4,53.8,55.8
-2.5,6.5,24.3,24.6,35.3,38.1,39.2,39.9,39.9,39.9,40.0,41.8,42.2,42.3,42.6,43.4,43.9,44.4,44.5,44.8,44.8,45.6,45.8,47.8,48.2,49.2,49.2,49.6,50.4,50.8,53.0,54.0
-22.7,-19.8,14.9,20.2,25.4,25.5,25.9,37.5,38.3,38.3,39.0,39.3,41.2,41.6,42.7,42.8,43.8,44.8,45.0,45.5,45.8,46.3,47.2,48.1,48.1,48.9,48.9,49.8,50.1,51.5,52.2,52.8
4.4,12.4,12.7,14.0,20.4,38.6,41.2,42.1,44.0,44.4,45.0,45.1,45.4,45.5,45.5,45.8,46.1,47.0,47.8,48.0,48.4,49.0,49.5,50.4,50.6,51.5,53.2,53.6,54.3,58.4,61.0,61.6
-10.8,-3.5,20.7,22.2,23.9,38.9,40.0,40.2,40.5,40.7,42.1,42.5,43.5,44.1,44.6,44.8,45.2,45.6,45.9,46.9,47.1,47.7,48.8,48.8,49.5,51.0,51.1,51.5,51.9,53.0,53.1,55.0
-15.6,2.5,17.2,21.7,25.1,25.9,37.3,41.2,41.7,42.4,43.1,43.5,43.7,44.9,45.9,46.0,46.5,46.6,48.0,48.3,48.6,48.9,50.7,50.7,51.5,52.4,52.8,53.1,53.3,54.2,60.4,61.6
-6.6,-2.5,-1.5,10.5,15.3,25.6,29.5,32.2,34.2,37.3,37.5,38.4,38.5,38.8,40.4,40.6,42.3,43.8,44.5,45.0,46.0,46.9,47.0,47.8,48.2,48.2,48.5,48.9,50.3,51.9,52.0,55.5
14.4,14.7,15.2,19.7,39.8,40.5,41.4,41.9,42.0,42.7,42.9,42.9,43.1,43.4,46.5,47.4,47.9,48.0,49.5,50.2,50.6,50.8,50.9,51.7,52.3,52.4,52.4,53.5,54.0,54.4,54.7,55.8
-1.2,11.1,15.1,17.3,25.4,28.5,35.3,38.6,38.8,39.0,41.1,41.5,41.9,42.5,42.7,42.8,43.4,43.8,43.9,44.8,45.4,45.7,45.9,47.6,47.7,48.6,48.6,49.8,50.2,50.6,52.1,53.9
4.3,14.4,18.9,23.8,24.8,27.8,29.8,30.8,36.1,38.4,41.5,42.0,42.2,43.1,43.1,43.1,43.2,44.5,45.5,45.7,45.9,45.9,47.9,48.4,48.5,48.7,50.6,51.1,52.2,52.8,53.3,61.2
-12.7,5.6,14.4,14.8,21.2,36.2,36.8,39.4,39.5,40.0,40.1,40.3,40.4,42.0,42.4,43.2,44.1,45.0,45.4,46.8,47.5,50.3,50.7,51.6,51.6,51.8,52.2,53.8,55.7,61.2,61.2,61.5
15.2,22.2,28.5,37.4,39.3,39.7,40.0,40.3,41.0,41.2,41.4,42.9,44.3,45.8,45.9,46.3,46.5,46.8,47.7,48.1,48.8,48.9,49.7,50.7,51.3,51.5,51.6,52.4,52.8,53.0,53.4,53.5
-1.5,9.6,13.5,15.0,18.2,20.9,35.9,36.6,37.9,39.0,39.9,40.0,40.9,42.3,43.1,43.3,43.3,45.2,47.3,47.4,48.4,50.1,50.2,50.7,51.0,51.4,51.7,51.7,51.9,52.8,55.4,60.8
14.6,23.3,27.1,28.7,36.6,37.4,37.4,37.8,40.4,41.6,43.2,43.6,43.7,44.3,44.5,45.3,45.3,45.4,46.6,47.6,49.0,50.3,50.4,50.7,51.1,51.6,51.6,52.3,55.1,58.7,59.4,59.9
4.6,14.9,15.0,36.6,36.8,36.9,38.9,40.0,40.8,41.1,41.6,41.8,41.9,42.8,42.8,44.2,45.3,45.6,45.7,46.2,46.3,48.9,48.9,50.2,50.6,50.8,51.4,52.0,52.3,52.7,52.7,53.2
-18.0,1.8,33.5,35.3,38.1,39.2,39.5,40.7,41.3,42.0,42.0,43.0,44.3,44.3,44.8,45.5,45.8,48.5,49.5,50.0,50.3,50.3,50.5,50.6,52.1,52.2,52.4,54.1,54.4,55.5,55.6,61.1
14.0,33.6,34.7,36.2,37.9,39.1,39.7,39.9,39.9,40.6,40.9,41.1,41.1,41.1,43.1,43.4,43.5,43.7,45.1,45.2,45.2,46.5,47.6,48.6,49.3,49.9,50.6,51.1,51.3,52.2,54.3,61.1
4.9,10.3,13.3,13.5,14.4,28.9,33.9,36.6,37.3,38.9,39.4,39.8,40.0,42.1,43.0,44.0,45.4,45.5,45.9,46.1,46.4,46.8,47.0,49.7,51.1,51.2,51.7,52.6,53.7,53.9,55.9,61.7
